n_actions,lambda_mean,lambda_std,ci_lower,ci_upper,improvement_mean,improvement_std
0,1.1730,0.1087,1.1056,1.2404,0.00,0.00
1,1.2480,0.0749,1.2016,1.2944,7.73,15.01
2,1.2300,0.0769,1.1823,1.2777,5.58,10.11
3,1.2670,0.0897,1.2114,1.3226,9.18,14.45
4,1.2470,0.0689,1.2043,1.2897,7.36,12.63
5,1.2240,0.0835,1.1723,1.2757,5.11,11.07
6,1.2430,0.0434,1.2161,1.2699,6.97,11.35
7,1.2600,0.0657,1.2193,1.3007,8.47,12.87
8,1.2230,0.0647,1.1829,1.2631,5.38,13.00
9,1.2680,0.0665,1.2268,1.3092,9.05,11.77
10,1.2530,0.0580,1.2171,1.2889,7.69,10.74
