n_actions,lambda_mean,lambda_std,ci_lower,ci_upper,improvement_mean,improvement_std
0,1.3767,0.2009,1.3048,1.4485,0.00,0.00
1,1.4360,0.2540,1.3451,1.5269,4.97,16.53
2,1.4570,0.2707,1.3601,1.5539,6.60,19.04
3,1.4713,0.2664,1.3760,1.5667,7.51,17.63
4,1.4937,0.2384,1.4084,1.5790,9.22,15.51
5,1.4530,0.2481,1.3642,1.5418,6.36,17.41
6,1.4823,0.2576,1.3902,1.5745,8.35,17.07
7,1.4830,0.2428,1.3961,1.5699,8.29,14.81
8,1.4737,0.2492,1.3845,1.5628,7.56,15.30
9,1.4740,0.2393,1.3884,1.5596,7.76,15.90
10,1.4750,0.2561,1.3834,1.5666,7.97,18.28
11,1.4793,0.2643,1.3848,1.5739,8.46,19.56
12,1.4857,0.2760,1.3869,1.5844,8.75,19.34
13,1.4623,0.2549,1.3711,1.5535,7.00,17.70
14,1.5210,0.2326,1.4378,1.6042,11.58,17.59
15,1.4897,0.2550,1.3984,1.5809,9.64,20.65
